date,dow,month,year,monthyear,daily_woi,daily_woi_c_med,daily_woi_nc,daily_woi_long,interpolated_news,lagdaily_woi,lagdaily_woi2,lagdaily_woi3,lagdaily_woi4,lagdaily_woi5,lagdaily_woi6,lagdaily_woi7,leaddaily_woi,leaddaily_woi2,leaddaily_woi3,leaddaily_woi4,leaddaily_woi5,leaddaily_woi6,leaddaily_woi7,lagdaily_woi_nc,lagdaily_woi2_nc,lagdaily_woi3_nc,lagdaily_woi4_nc,lagdaily_woi5_nc,lagdaily_woi6_nc,lagdaily_woi7_nc,leaddaily_woi_nc,leaddaily_woi2_nc,leaddaily_woi3_nc,leaddaily_woi4_nc,leaddaily_woi5_nc,leaddaily_woi6_nc,leaddaily_woi7_nc,lagdaily_woi_long,lagdaily_woi2_long,lagdaily_woi3_long,lagdaily_woi4_long,lagdaily_woi5_long,lagdaily_woi6_long,lagdaily_woi7_long,leaddaily_woi_long,lagdaily_woi_c_med,lagdaily_woi2_c_med,lagdaily_woi3_c_med,lagdaily_woi4_c_med,lagdaily_woi5_c_med,lagdaily_woi6_c_med,lagdaily_woi7_c_med,leaddaily_woi_c_med,victims_isr,victims_pal,occurrence,occurrence_pal,lnvic,lnvic_pal,occurrence_1,occurrence_2_7,occurrence_8_14,occurrence_pal_1,occurrence_pal_2_7,occurrence_pal_8_14,occurrence_t_y,occurrence_pal_t_y,lnvic_t_y,lnvic_pal_y,occurrence_target,victims_target,attacks_target,gaza_war,post_intifada,high_intensity,victims_non_target,occurrence_non_target,any_conflict_news,num_conflict_news,length_conflict_news,length_conflict_news_t_t_1,jhol1,jhol2,jhol3,jhol4,jhol5,jhol6,jhol7,jhol8,jhol9,jhol10,jhol11,jhol12,jhol13,jhol14,jhol15,jhol16,jhol17,mhol1,mhol2,mhol3,mhol4,mhol5,mhol6,mhol7,mhol8,conflict_searches,general_election,congress_start_session,state_of_the_union,main_national_conventions,special_congressional_elections,statewide_elections,gubernatorial_elections,presidential_inauguration,state_primary,presidential_caucuses,special_senate_elections,super_tuesday,iowa_caucuses,nh_presidential_primary,other_presidential_primaries,other_presidential_caucuses,olympics,worldcup,eurocup,worldseries,marchmadness,nbafinals,other_sport_events,major_events,lead_maj_events,lead_disaster,lead_killed_1000,fatal_victims,non_fatal_victims,occurrence_all,occurrence_fatal,occurrence_non_fatal,victims_hpd,occurrence_hpd,victims_lpd,occurrence_lpd,victims_hw,victims_nhw,occurrence_hw,occurrence_nhw,attacks_fatal,attacks_hpd,attacks_hw,barak,sharon,olmert,netanyahu,clinton,bush,obama,us_president_party,p_process,p_talks
09oct2000,Monday,10,2000,489,.80990994,.82230043,.51666665,1.4919913,0,1.0329167,1.1841667,.85100001,.91730773,1.13,.75,.95690238,.68771923,.90487498,1.0452055,1.1180723,.71310866,1.1417832,1.00625,.53333336,.81666672,.76666665,.89999998,.98333329,.73333335,.76666665,.58333337,.80833328,.68333334,.76666665,.53333336,.68333334,.56666666,1.2383333,1.2566667,1.1470001,1.3166667,1.4473684,1.1017921,1.356751,1.1806763,.8441987,1.1841667,.84934646,.91635525,1.129373,.75,.96128476,.68663192,0,0,0,0,0,0,1,1,1,0,1,1,1,0,.69314718,0,0,0,1,0,0,1,0,0,1,3,20.333334,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
10oct2000,Tuesday,10,2000,489,.68771923,.68663192,.58333337,1.1806763,0,.80990994,1.0329167,1.1841667,.85100001,.91730773,1.13,.75,.90487498,1.0452055,1.1180723,.71310866,1.1417832,1.00625,.7638889,.51666665,.53333336,.81666672,.76666665,.89999998,.98333329,.73333335,.80833328,.68333334,.76666665,.53333336,.68333334,.56666666,.66666663,1.4919913,1.2383333,1.2566667,1.1470001,1.3166667,1.4473684,1.1017921,1.3036251,.82230043,.8441987,1.1841667,.84934646,.91635525,1.129373,.75,.9074167,1,0,1,0,.69314718,0,0,1,1,0,1,1,1,0,.69314718,0,0,0,3,0,0,1,1,1,1,3,13,16.666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
11oct2000,Wednesday,10,2000,489,.90487498,.9074167,.80833328,1.3036251,0,.68771923,.80990994,1.0329167,1.1841667,.85100001,.91730773,1.13,1.0452055,1.1180723,.71310866,1.1417832,1.00625,.7638889,1.2448598,.58333337,.51666665,.53333336,.81666672,.76666665,.89999998,.98333329,.68333334,.76666665,.53333336,.68333334,.56666666,.66666663,1.1333333,1.1806763,1.4919913,1.2383333,1.2566667,1.1470001,1.3166667,1.4473684,1.4682648,.68663192,.82230043,.8441987,1.1841667,.84934646,.91635525,1.129373,1.0295556,4,0,1,0,1.6094379,0,1,1,1,0,1,1,1,0,1.7917595,0,0,0,3,0,0,1,4,1,1,2,4,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
12oct2000,Thursday,10,2000,489,1.0452055,1.0295556,.68333334,1.4682648,0,.90487498,.68771923,.80990994,1.0329167,1.1841667,.85100001,.91730773,1.1180723,.71310866,1.1417832,1.00625,.7638889,1.2448598,1.1705358,.80833328,.58333337,.51666665,.53333336,.81666672,.76666665,.89999998,.76666665,.53333336,.68333334,.56666666,.66666663,1.1333333,1.15,1.3036251,1.1806763,1.4919913,1.2383333,1.2566667,1.1470001,1.3166667,1.5511365,.9074167,.68663192,.82230043,.8441987,1.1841667,.84934646,.91635525,1.1180723,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1.6094379,0,0,0,1,0,0,1,0,0,1,6,17.833334,10.916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
13oct2000,Friday,10,2000,489,1.1180723,1.1180723,.76666665,1.5511365,0,1.0452055,.90487498,.68771923,.80990994,1.0329167,1.1841667,.85100001,.71310866,1.1417832,1.00625,.7638889,1.2448598,1.1705358,.90561056,.68333334,.80833328,.58333337,.51666665,.53333336,.81666672,.76666665,.53333336,.68333334,.56666666,.66666663,1.1333333,1.15,.81666672,1.4682648,1.3036251,1.1806763,1.4919913,1.2383333,1.2566667,1.1470001,1.5599252,1.0295556,.9074167,.68663192,.82230043,.8441987,1.1841667,.84934646,.71937984,2,0,1,0,1.0986123,0,0,1,1,0,1,1,1,0,1.0986123,0,0,0,3,0,0,1,2,1,1,6,19.666666,18.75,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
14oct2000,Saturday,10,2000,489,.71310866,.71937984,.53333336,1.5599252,0,1.1180723,1.0452055,.90487498,.68771923,.80990994,1.0329167,1.1841667,1.1417832,1.00625,.7638889,1.2448598,1.1705358,.90561056,1.3774999,.76666665,.68333334,.80833328,.58333337,.51666665,.53333336,.81666672,.68333334,.56666666,.66666663,1.1333333,1.15,.81666672,.94999999,1.5511365,1.4682648,1.3036251,1.1806763,1.4919913,1.2383333,1.2566667,1.5825952,1.1180723,1.0295556,.9074167,.68663192,.82230043,.8441987,1.1841667,1.1274307,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1.0986123,0,0,0,1,0,0,1,0,0,1,1,5,12.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
15oct2000,Sunday,10,2000,489,1.1417832,1.1274307,.68333334,1.5825952,0,.71310866,1.1180723,1.0452055,.90487498,.68771923,.80990994,1.0329167,1.00625,.7638889,1.2448598,1.1705358,.90561056,1.3774999,.50336701,.53333336,.76666665,.68333334,.80833328,.58333337,.51666665,.53333336,.56666666,.66666663,1.1333333,1.15,.81666672,.94999999,.43333334,1.5599252,1.5511365,1.4682648,1.3036251,1.1806763,1.4919913,1.2383333,1.3938357,.71937984,1.1180723,1.0295556,.9074167,.68663192,.82230043,.8441987,1.0024692,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,4,14.666667,9.833333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
16oct2000,Monday,10,2000,489,1.00625,1.0024692,.56666666,1.3938357,0,1.1417832,.71310866,1.1180723,1.0452055,.90487498,.68771923,.80990994,.7638889,1.2448598,1.1705358,.90561056,1.3774999,.50336701,.99611652,.68333334,.53333336,.76666665,.68333334,.80833328,.58333337,.51666665,.66666663,1.1333333,1.15,.81666672,.94999999,.43333334,.89999998,1.5825952,1.5599252,1.5511365,1.4682648,1.3036251,1.1806763,1.4919913,1.0190476,1.1274307,.71937984,1.1180723,1.0295556,.9074167,.68663192,.82230043,.75816989,2,0,1,0,1.0986123,0,0,1,1,0,0,1,1,0,1.0986123,0,0,0,3,0,0,1,2,1,1,5,21.5,18.083334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
17oct2000,Tuesday,10,2000,489,.7638889,.75816989,.66666663,1.0190476,0,1.00625,1.1417832,.71310866,1.1180723,1.0452055,.90487498,.68771923,1.2448598,1.1705358,.90561056,1.3774999,.50336701,.99611652,.69999999,.56666666,.68333334,.53333336,.76666665,.68333334,.80833328,.58333337,1.1333333,1.15,.81666672,.94999999,.43333334,.89999998,.69999999,1.3938357,1.5825952,1.5599252,1.5511365,1.4682648,1.3036251,1.1806763,1.3371428,1.0024692,1.1274307,.71937984,1.1180723,1.0295556,.9074167,.68663192,1.2448598,2,0,1,0,1.0986123,0,1,1,1,0,0,1,1,0,1.6094379,0,0,0,3,0,0,1,2,1,1,3,8.833333,15.166667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
18oct2000,Wednesday,10,2000,489,1.2448598,1.2448598,1.1333333,1.3371428,0,.7638889,1.00625,1.1417832,.71310866,1.1180723,1.0452055,.90487498,1.1705358,.90561056,1.3774999,.50336701,.99611652,.69999999,.92934769,.66666663,.56666666,.68333334,.53333336,.76666665,.68333334,.80833328,1.15,.81666672,.94999999,.43333334,.89999998,.69999999,.86666667,1.0190476,1.3938357,1.5825952,1.5599252,1.5511365,1.4682648,1.3036251,1.3663522,.75816989,1.0024692,1.1274307,.71937984,1.1180723,1.0295556,.9074167,1.1707208,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1.0986123,0,0,0,1,0,0,1,0,0,1,3,5.3333335,7.0833335,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,democrat,1,0
