,date,tweet_count
0,21mar2006,0
1,22mar2006,0
2,23mar2006,0
3,24mar2006,0
4,25mar2006,0
5,26mar2006,0
6,27mar2006,0
7,28mar2006,0
8,29mar2006,0
9,30mar2006,0
10,31mar2006,0
11,01apr2006,0
12,02apr2006,0
13,03apr2006,0
14,04apr2006,0
15,05apr2006,0
16,06apr2006,0
17,07apr2006,0
18,08apr2006,0
19,09apr2006,0
20,10apr2006,0
21,11apr2006,0
22,12apr2006,0
23,13apr2006,0
24,14apr2006,0
25,15apr2006,0
26,16apr2006,0
27,17apr2006,0
28,18apr2006,0
29,19apr2006,0
30,20apr2006,0
31,21apr2006,0
32,22apr2006,0
33,23apr2006,0
34,24apr2006,0
35,25apr2006,0
36,26apr2006,0
37,27apr2006,0
38,28apr2006,0
39,29apr2006,0
40,30apr2006,0
41,01may2006,0
42,02may2006,0
43,03may2006,0
44,04may2006,0
45,05may2006,0
46,06may2006,0
47,07may2006,0
48,08may2006,0
49,09may2006,0
50,10may2006,0
51,11may2006,0
52,12may2006,0
53,13may2006,0
54,14may2006,0
55,15may2006,0
56,16may2006,0
57,17may2006,0
58,18may2006,0
59,19may2006,0
60,20may2006,0
61,21may2006,0
62,22may2006,0
63,23may2006,0
64,24may2006,0
65,25may2006,0
66,26may2006,0
67,27may2006,0
68,28may2006,0
69,29may2006,0
70,30may2006,0
71,31may2006,0
72,01jun2006,0
73,02jun2006,0
74,03jun2006,0
75,04jun2006,0
76,05jun2006,0
77,06jun2006,0
78,07jun2006,0
79,08jun2006,0
80,09jun2006,0
81,10jun2006,0
82,11jun2006,0
83,12jun2006,0
84,13jun2006,0
85,14jun2006,0
86,15jun2006,0
87,16jun2006,0
88,17jun2006,0
89,18jun2006,0
90,19jun2006,0
91,20jun2006,0
92,21jun2006,0
93,22jun2006,0
94,23jun2006,0
95,24jun2006,0
96,25jun2006,0
97,26jun2006,0
98,27jun2006,0
99,28jun2006,0
100,29jun2006,0
101,30jun2006,0
102,01jul2006,0
103,02jul2006,0
104,03jul2006,0
105,04jul2006,0
106,05jul2006,0
107,06jul2006,0
108,07jul2006,0
109,08jul2006,0
110,09jul2006,0
111,10jul2006,0
112,11jul2006,0
113,12jul2006,0
114,13jul2006,0
115,14jul2006,0
116,15jul2006,0
117,16jul2006,0
118,17jul2006,0
119,18jul2006,0
120,19jul2006,0
121,20jul2006,0
122,21jul2006,0
123,22jul2006,0
124,23jul2006,0
125,24jul2006,0
126,25jul2006,0
127,26jul2006,0
128,27jul2006,0
129,28jul2006,0
130,29jul2006,0
131,30jul2006,0
132,31jul2006,0
133,01aug2006,0
134,02aug2006,0
135,03aug2006,0
136,04aug2006,0
137,05aug2006,0
138,06aug2006,0
139,07aug2006,0
140,08aug2006,0
141,09aug2006,0
142,10aug2006,0
143,11aug2006,0
144,12aug2006,0
145,13aug2006,0
146,14aug2006,0
147,15aug2006,0
148,16aug2006,0
149,17aug2006,0
150,18aug2006,0
151,19aug2006,0
152,20aug2006,0
153,21aug2006,0
154,22aug2006,0
155,23aug2006,0
156,24aug2006,0
157,25aug2006,0
158,26aug2006,0
159,27aug2006,0
160,28aug2006,0
161,29aug2006,0
162,30aug2006,0
163,31aug2006,0
164,01sep2006,0
165,02sep2006,0
166,03sep2006,0
167,04sep2006,0
168,05sep2006,0
169,06sep2006,0
170,07sep2006,0
171,08sep2006,0
172,09sep2006,0
173,10sep2006,0
174,11sep2006,0
175,12sep2006,0
176,13sep2006,0
177,14sep2006,0
178,15sep2006,0
179,16sep2006,0
180,17sep2006,0
181,18sep2006,0
182,19sep2006,0
183,20sep2006,0
184,21sep2006,0
185,22sep2006,0
186,23sep2006,0
187,24sep2006,0
188,25sep2006,0
189,26sep2006,0
190,27sep2006,0
191,28sep2006,0
192,29sep2006,0
193,30sep2006,0
194,01oct2006,0
195,02oct2006,0
196,03oct2006,0
197,04oct2006,0
198,05oct2006,0
199,06oct2006,0
200,07oct2006,0
201,08oct2006,0
202,09oct2006,0
203,10oct2006,0
204,11oct2006,0
205,12oct2006,0
206,13oct2006,0
207,14oct2006,0
208,15oct2006,0
209,16oct2006,0
210,17oct2006,0
211,18oct2006,0
212,19oct2006,0
213,20oct2006,0
214,21oct2006,0
215,22oct2006,0
216,23oct2006,0
217,24oct2006,0
218,25oct2006,0
219,26oct2006,0
220,27oct2006,0
221,28oct2006,0
222,29oct2006,0
223,30oct2006,0
224,31oct2006,0
225,01nov2006,0
226,02nov2006,0
227,03nov2006,0
228,04nov2006,0
229,05nov2006,0
230,06nov2006,0
231,07nov2006,0
232,08nov2006,0
233,09nov2006,0
234,10nov2006,0
235,11nov2006,0
236,12nov2006,0
237,13nov2006,0
238,14nov2006,0
239,15nov2006,0
240,16nov2006,0
241,17nov2006,0
242,18nov2006,0
243,19nov2006,0
244,20nov2006,0
245,21nov2006,0
246,22nov2006,0
247,23nov2006,0
248,24nov2006,0
249,25nov2006,0
250,26nov2006,0
251,27nov2006,0
252,28nov2006,0
253,29nov2006,0
254,30nov2006,0
255,01dec2006,0
256,02dec2006,0
257,03dec2006,0
258,04dec2006,0
259,05dec2006,0
260,06dec2006,0
261,07dec2006,0
262,08dec2006,0
263,09dec2006,0
264,10dec2006,0
265,11dec2006,0
266,12dec2006,0
267,13dec2006,0
268,14dec2006,0
269,15dec2006,0
270,16dec2006,0
271,17dec2006,0
272,18dec2006,0
273,19dec2006,0
274,20dec2006,0
275,21dec2006,0
276,22dec2006,0
277,23dec2006,0
278,24dec2006,0
279,25dec2006,0
280,26dec2006,0
281,27dec2006,0
282,28dec2006,0
283,29dec2006,0
284,30dec2006,0
285,31dec2006,0
286,01jan2007,0
287,02jan2007,0
288,03jan2007,0
289,04jan2007,0
290,05jan2007,0
291,06jan2007,0
292,07jan2007,0
293,08jan2007,0
294,09jan2007,0
295,10jan2007,0
296,11jan2007,0
297,12jan2007,0
298,13jan2007,0
299,14jan2007,0
300,15jan2007,0
301,16jan2007,0
302,17jan2007,0
303,18jan2007,0
304,19jan2007,0
305,20jan2007,0
306,21jan2007,0
307,22jan2007,0
308,23jan2007,0
309,24jan2007,0
310,25jan2007,0
311,26jan2007,0
312,27jan2007,0
313,28jan2007,0
314,29jan2007,0
315,30jan2007,0
316,31jan2007,0
317,01feb2007,0
318,02feb2007,0
319,03feb2007,0
320,04feb2007,0
321,05feb2007,0
322,06feb2007,0
323,07feb2007,0
324,08feb2007,0
325,09feb2007,0
326,10feb2007,0
327,11feb2007,0
328,12feb2007,0
329,13feb2007,0
330,14feb2007,0
331,15feb2007,0
332,16feb2007,0
333,17feb2007,0
334,18feb2007,0
335,19feb2007,0
336,20feb2007,0
337,21feb2007,0
338,22feb2007,0
339,23feb2007,0
340,24feb2007,0
341,25feb2007,0
342,26feb2007,0
343,27feb2007,0
344,28feb2007,0
345,01mar2007,0
346,02mar2007,0
347,03mar2007,0
348,04mar2007,0
349,05mar2007,0
350,06mar2007,0
351,07mar2007,0
352,08mar2007,0
353,09mar2007,0
354,10mar2007,0
355,11mar2007,0
356,12mar2007,0
357,13mar2007,0
358,14mar2007,0
359,15mar2007,0
360,16mar2007,0
361,17mar2007,0
362,18mar2007,0
363,19mar2007,0
364,20mar2007,0
365,21mar2007,0
366,22mar2007,0
367,23mar2007,0
368,24mar2007,0
369,25mar2007,0
370,26mar2007,0
371,27mar2007,0
372,28mar2007,0
373,29mar2007,0
374,30mar2007,0
375,31mar2007,0
376,01apr2007,0
377,02apr2007,0
378,03apr2007,0
379,04apr2007,0
380,05apr2007,0
381,06apr2007,1
382,07apr2007,0
383,08apr2007,0
384,09apr2007,0
385,10apr2007,0
386,11apr2007,0
387,12apr2007,0
388,13apr2007,0
389,14apr2007,0
390,15apr2007,0
391,16apr2007,0
392,17apr2007,0
393,18apr2007,0
394,19apr2007,0
395,20apr2007,0
396,21apr2007,0
397,22apr2007,0
398,23apr2007,0
399,24apr2007,0
400,25apr2007,0
401,26apr2007,0
402,27apr2007,0
403,28apr2007,0
404,29apr2007,0
405,30apr2007,0
406,01may2007,0
407,02may2007,0
408,03may2007,0
409,04may2007,0
410,05may2007,0
411,06may2007,0
412,07may2007,0
413,08may2007,0
414,09may2007,0
415,10may2007,0
416,11may2007,0
417,12may2007,0
418,13may2007,0
419,14may2007,0
420,15may2007,0
421,16may2007,0
422,17may2007,0
423,18may2007,0
424,19may2007,0
425,20may2007,0
426,21may2007,2
427,22may2007,0
428,23may2007,0
429,24may2007,0
430,25may2007,1
431,26may2007,0
432,27may2007,6
433,28may2007,0
434,29may2007,0
435,30may2007,1
436,31may2007,0
437,01jun2007,0
438,02jun2007,0
439,03jun2007,1
440,04jun2007,0
441,05jun2007,2
442,06jun2007,0
443,07jun2007,0
444,08jun2007,0
445,09jun2007,3
446,10jun2007,0
447,11jun2007,1
448,12jun2007,0
449,13jun2007,0
450,14jun2007,0
451,15jun2007,0
452,16jun2007,0
453,17jun2007,0
454,18jun2007,0
455,19jun2007,0
456,20jun2007,0
457,21jun2007,0
458,22jun2007,1
459,23jun2007,0
460,24jun2007,0
461,25jun2007,0
462,26jun2007,0
463,27jun2007,0
464,28jun2007,0
465,29jun2007,0
466,30jun2007,0
467,01jul2007,0
468,02jul2007,0
469,03jul2007,0
470,04jul2007,0
471,05jul2007,0
472,06jul2007,0
